#SampleID	Site	SeasonxSite	SeasonxRiver	River
WL1.1	LiTN1	Sp1LiTN1	Sp1LiTN	LiTN
WL1.2	LiTN1	Sp1LiTN1	Sp1LiTN	LiTN
WL1.3	LiTN1	Sp1LiTN1	Sp1LiTN	LiTN
WL1.4	LiTN1	SuLiTN1	SuLiTN	LiTN
WL1.5	LiTN1	SuLiTN1	SuLiTN	LiTN
WL1.6	LiTN1	SuLiTN1	SuLiTN	LiTN
WL1.7	LiTN1	FaLiTN1	FaLiTN	LiTN
WL1.8	LiTN1	FaLiTN1	FaLiTN	LiTN
WL1.9	LiTN1	FaLiTN1	FaLiTN	LiTN
WL1.10	LiTN1	WiLiTN1	WiLiTN	LiTN
WL1.11	LiTN1	WiLiTN1	WiLiTN	LiTN
WL1.12	LiTN1	WiLiTN1	WiLiTN	LiTN
WL1.13	LiTN1	Sp2LiTN1	Sp2LiTN	LiTN
WL1.14	LiTN1	Sp2LiTN1	Sp2LiTN	LiTN
WL1.15	LiTN1	SuLiTN1	SuLiTN	LiTN
WL1.16	LiTN1	FaLiTN1	FaLiTN	LiTN
WL2.1	LiTN2	Sp1LiTN2	Sp1LiTN	LiTN
WL2.2	LiTN2	Sp1LiTN2	Sp1LiTN	LiTN
WL2.3	LiTN2	Sp1LiTN2	Sp1LiTN	LiTN
WL2.4	LiTN2	SuLiTN2	SuLiTN	LiTN
WL2.5	LiTN2	SuLiTN2	SuLiTN	LiTN
WL2.6	LiTN2	SuLiTN2	SuLiTN	LiTN
WL2.7	LiTN2	FaLiTN2	FaLiTN	LiTN
WL2.8	LiTN2	FaLiTN2	FaLiTN	LiTN
WL2.9	LiTN2	FaLiTN2	FaLiTN	LiTN
WL2.10	LiTN2	WiLiTN2	WiLiTN	LiTN
WL2.11	LiTN2	WiLiTN2	WiLiTN	LiTN
WL2.12	LiTN2	WiLiTN2	WiLiTN	LiTN
WL2.13	LiTN2	Sp2LiTN2	Sp2LiTN	LiTN
WL2.14	LiTN2	Sp2LiTN2	Sp2LiTN	LiTN
WL2.15	LiTN2	SuLiTN2	SuLiTN	LiTN
WL2.16	LiTN2	FaLiTN2	FaLiTN	LiTN
WL3.1	LiTN3	Sp1LiTN3	Sp1LiTN	LiTN
WL3.2	LiTN3	Sp1LiTN3	Sp1LiTN	LiTN
WL3.3	LiTN3	Sp1LiTN3	Sp1LiTN	LiTN
WL3.4	LiTN3	SuLiTN3	SuLiTN	LiTN
WL3.5	LiTN3	SuLiTN3	SuLiTN	LiTN
WL3.6	LiTN3	SuLiTN3	SuLiTN	LiTN
WL3.7	LiTN3	FaLiTN3	FaLiTN	LiTN
WL3.8	LiTN3	FaLiTN3	FaLiTN	LiTN
WL3.9	LiTN3	FaLiTN3	FaLiTN	LiTN
WL3.10	LiTN3	WiLiTN3	WiLiTN	LiTN
WL3.11	LiTN3	WiLiTN3	WiLiTN	LiTN
WL3.12	LiTN3	WiLiTN3	WiLiTN	LiTN
WL3.13	LiTN3	Sp2LiTN3	Sp2LiTN	LiTN
WL3.14	LiTN3	Sp2LiTN3	Sp2LiTN	LiTN
WL3.15	LiTN3	SuLiTN3	SuLiTN	LiTN
WL3.16	LiTN3	FaLiTN3	FaLiTN	LiTN
WT1.1	Tuck1	Sp1Tuck1	Sp1Tuck	Tuck
WT1.2	Tuck1	Sp1Tuck1	Sp1Tuck	Tuck
WT1.3	Tuck1	Sp1Tuck1	Sp1Tuck	Tuck
WT1.4	Tuck1	SuTuck1	SuTuck	Tuck
WT1.5	Tuck1	SuTuck1	SuTuck	Tuck
WT1.6	Tuck1	SuTuck1	SuTuck	Tuck
WT1.7	Tuck1	FaTuck1	FaTuck	Tuck
WT1.8	Tuck1	FaTuck1	FaTuck	Tuck
WT1.9	Tuck1	FaTuck1	FaTuck	Tuck
WT1.10	Tuck1	WiTuck1	WiTuck	Tuck
WT1.11	Tuck1	WiTuck1	WiTuck	Tuck
WT1.12	Tuck1	WiTuck1	WiTuck	Tuck
WT1.13	Tuck1	Sp2Tuck1	Sp2Tuck	Tuck
WT1.14	Tuck1	Sp2Tuck1	Sp2Tuck	Tuck
WT1.15	Tuck1	SuTuck1	SuTuck	Tuck
WT1.16	Tuck1	FaTuck1	FaTuck	Tuck
WT2.1	Tuck2	Sp1Tuck2	Sp1Tuck	Tuck
WT2.2	Tuck2	Sp1Tuck2	Sp1Tuck	Tuck
WT2.3	Tuck2	Sp1Tuck2	Sp1Tuck	Tuck
WT2.4	Tuck2	SuTuck2	SuTuck	Tuck
WT2.5	Tuck2	SuTuck2	SuTuck	Tuck
WT2.6	Tuck2	SuTuck2	SuTuck	Tuck
WT2.7	Tuck2	FaTuck2	FaTuck	Tuck
WT2.8	Tuck2	FaTuck2	FaTuck	Tuck
WT2.9	Tuck2	FaTuck2	FaTuck	Tuck
WT2.10	Tuck2	WiTuck2	WiTuck	Tuck
WT2.11	Tuck2	WiTuck2	WiTuck	Tuck
WT2.12	Tuck2	WiTuck2	WiTuck	Tuck
WT2.13	Tuck2	Sp2Tuck2	Sp2Tuck	Tuck
WT2.14	Tuck2	Sp2Tuck2	Sp2Tuck	Tuck
WT2.15	Tuck2	SuTuck2	SuTuck	Tuck
WT2.16	Tuck2	FaTuck2	FaTuck	Tuck
WT3.1	Tuck3	Sp1Tuck3	Sp1Tuck	Tuck
WT3.2	Tuck3	Sp1Tuck3	Sp1Tuck	Tuck
